,model,fold_number,metric_name,metric_value
0,RND,0,Accuracy,0.5198117880138683
1,RND,0,F1 Score,0.35735169978737624
2,RNN,0,Accuracy,0.5506438831104508
3,RNN,0,F1 Score,0.5503641963873583
4,MLP,0,Accuracy,0.5518821198613175
5,MLP,0,F1 Score,0.550148409102991
6,SKL,0,Accuracy,0.5430906389301634
7,SKL,0,F1 Score,0.5173365308015854
8,RND,1,Accuracy,0.5194403169886083
9,RND,1,F1 Score,0.3576186883098929
10,RNN,1,Accuracy,0.5470529965329372
11,RNN,1,F1 Score,0.529975180455175
12,MLP,1,Accuracy,0.5499009410599307
13,MLP,1,F1 Score,0.5396706502456233
14,SKL,1,Accuracy,0.5443288756810302
15,SKL,1,F1 Score,0.5150296408344948
16,RND,2,Accuracy,0.5189450222882616
17,RND,2,F1 Score,0.3558628815738828
18,RNN,2,Accuracy,0.5499009410599307
19,RNN,2,F1 Score,0.5492760059638875
20,MLP,2,Accuracy,0.5584447746409114
21,MLP,2,F1 Score,0.555835248649764
22,SKL,2,Accuracy,0.5460624071322436
23,SKL,2,F1 Score,0.5204170694597026
24,RND,3,Accuracy,0.5195641406636949
25,RND,3,F1 Score,0.3568014121593544
26,RNN,3,Accuracy,0.5537394749876177
27,RNN,3,F1 Score,0.5537220684102553
28,MLP,3,Accuracy,0.5555968301139178
29,MLP,3,F1 Score,0.5526339993095019
30,SKL,3,Accuracy,0.5505200594353641
31,SKL,3,F1 Score,0.5289605362043382
32,RND,4,Accuracy,0.519935611688955
33,RND,4,F1 Score,0.3578449561629426
34,RNN,4,Accuracy,0.553244180287271
35,RNN,4,F1 Score,0.5314449585148181
36,MLP,4,Accuracy,0.5465577018325903
37,MLP,4,F1 Score,0.5144680294801839
38,SKL,4,Accuracy,0.5487865279841506
39,SKL,4,F1 Score,0.5216891445002384
40,RND,5,Accuracy,0.5184497275879149
41,RND,5,F1 Score,0.3573828866244809
42,RNN,5,Accuracy,0.5492818226844973
43,RNN,5,F1 Score,0.5491794626943974
44,MLP,5,Accuracy,0.5508915304606241
45,MLP,5,F1 Score,0.5509061353953247
46,SKL,5,Accuracy,0.5454432887568103
47,SKL,5,F1 Score,0.5231279524363968
48,RND,6,Accuracy,0.5191926696384349
49,RND,6,F1 Score,0.35597506756884095
50,RNN,6,Accuracy,0.5538632986627043
51,RNN,6,F1 Score,0.5516438575103159
52,MLP,6,Accuracy,0.5526250619118376
53,MLP,6,F1 Score,0.5473671599618541
54,SKL,6,Accuracy,0.54247152055473
55,SKL,6,F1 Score,0.5132123807381705
56,RND,7,Accuracy,0.5193164933135216
57,RND,7,F1 Score,0.35690754079744275
58,RNN,7,Accuracy,0.5523774145616642
59,RNN,7,F1 Score,0.5493363000114594
60,MLP,7,Accuracy,0.5567112431896979
61,MLP,7,F1 Score,0.5567506639279155
62,SKL,7,Accuracy,0.5451956414066369
63,SKL,7,F1 Score,0.5184587487150664
64,RND,8,Accuracy,0.5189450222882616
65,RND,8,F1 Score,0.3563011552805541
66,RNN,8,Accuracy,0.5499009410599307
67,RNN,8,F1 Score,0.546158786282249
68,MLP,8,Accuracy,0.5503962357602774
69,MLP,8,F1 Score,0.5278921260302692
70,SKL,8,Accuracy,0.538261515601783
71,SKL,8,F1 Score,0.5043064939254254
72,RND,9,Accuracy,0.5189450222882616
73,RND,9,F1 Score,0.3560821490607915
74,RNN,9,Accuracy,0.5492818226844973
75,RNN,9,F1 Score,0.5331572417258346
76,MLP,9,Accuracy,0.5502724120851907
77,MLP,9,F1 Score,0.5355448083145176
78,SKL,9,Accuracy,0.5407379891035166
79,SKL,9,F1 Score,0.5130647292615008
80,RND,10,Accuracy,0.5195641406636949
81,RND,10,F1 Score,0.35745719465328335
82,RNN,10,Accuracy,0.549405646359584
83,RNN,10,F1 Score,0.5357226475788227
84,MLP,10,Accuracy,0.5499009410599307
85,MLP,10,F1 Score,0.546509339531599
86,SKL,10,Accuracy,0.5471768202080238
87,SKL,10,F1 Score,0.5210339175302263
88,RND,11,Accuracy,0.5188211986131749
89,RND,11,F1 Score,0.3560259683789955
90,RNN,11,Accuracy,0.5475482912332839
91,RNN,11,F1 Score,0.51994962872831
92,MLP,11,Accuracy,0.5518821198613175
93,MLP,11,F1 Score,0.5351933195473707
94,SKL,11,Accuracy,0.5513868251609708
95,SKL,11,F1 Score,0.5226978228455728
96,RND,12,Accuracy,0.5194403169886083
97,RND,12,F1 Score,0.3569639082738301
98,RNN,12,Accuracy,0.5480435859336306
99,RNN,12,F1 Score,0.5261516258901585
100,MLP,12,Accuracy,0.5527488855869243
101,MLP,12,F1 Score,0.5471503260365477
102,SKL,12,Accuracy,0.5471768202080238
103,SKL,12,F1 Score,0.519155241188788
104,RND,13,Accuracy,0.5189450222882616
105,RND,13,F1 Score,0.3567383854541125
106,RNN,13,Accuracy,0.5510153541357108
107,RNN,13,F1 Score,0.5496322346402098
108,MLP,13,Accuracy,0.5445765230312035
109,MLP,13,F1 Score,0.544409374853827
110,SKL,13,Accuracy,0.5425953442298167
111,SKL,13,F1 Score,0.5157358825555902
112,RND,14,Accuracy,0.5188211986131749
113,RND,14,F1 Score,0.35624490044792956
114,RNN,14,Accuracy,0.5489103516592373
115,RNN,14,F1 Score,0.5442188516017853
116,MLP,14,Accuracy,0.5508915304606241
117,MLP,14,F1 Score,0.5490352975725815
118,SKL,14,Accuracy,0.5437097573055968
119,SKL,14,F1 Score,0.51807895944462
120,RND,15,Accuracy,0.5194403169886083
121,RND,15,F1 Score,0.3560872178233343
122,RNN,15,Accuracy,0.5477959385834572
123,RNN,15,F1 Score,0.5465325696948126
124,MLP,15,Accuracy,0.5517582961862308
125,MLP,15,F1 Score,0.5504552618684878
126,SKL,15,Accuracy,0.5460624071322436
127,SKL,15,F1 Score,0.5134656151508057
128,RND,16,Accuracy,0.5190688459633482
129,RND,16,F1 Score,0.3563574012310907
130,RNN,16,Accuracy,0.5529965329370976
131,RNN,16,F1 Score,0.5525552596970374
132,MLP,16,Accuracy,0.5534918276374443
133,MLP,16,F1 Score,0.5475102793001452
134,SKL,16,Accuracy,0.54284299157999
135,SKL,16,F1 Score,0.5140196296017779
136,RND,17,Accuracy,0.5182020802377415
137,RND,17,F1 Score,0.35530702579063983
138,RNN,17,Accuracy,0.5541109460128777
139,RNN,17,F1 Score,0.5388422576664232
140,MLP,17,Accuracy,0.5594353640416048
141,MLP,17,F1 Score,0.5440679221033544
142,SKL,17,Accuracy,0.5465577018325903
143,SKL,17,F1 Score,0.5201107043441112
144,RND,18,Accuracy,0.5188211986131749
145,RND,18,F1 Score,0.3569001336351331
146,RNN,18,Accuracy,0.5565874195146112
147,RNN,18,F1 Score,0.5528800221508423
148,MLP,18,Accuracy,0.557454185240218
149,MLP,18,F1 Score,0.5520913970192725
150,SKL,18,Accuracy,0.5486627043090639
151,SKL,18,F1 Score,0.5172864194840466
152,RND,19,Accuracy,0.5193164933135216
153,RND,19,F1 Score,0.3560311471624697
154,RNN,19,Accuracy,0.5516344725111442
155,RNN,19,F1 Score,0.5517164531816209
156,MLP,19,Accuracy,0.549034175334324
157,MLP,19,F1 Score,0.5435181586013861
158,SKL,19,Accuracy,0.5432144626052501
159,SKL,19,F1 Score,0.5132982370641793
160,RND,20,Accuracy,0.5191926696384349
161,RND,20,F1 Score,0.3570695368644321
162,RNN,20,Accuracy,0.5451956414066369
163,RNN,20,F1 Score,0.5453347125360837
164,MLP,20,Accuracy,0.5521297672114909
165,MLP,20,F1 Score,0.5522117430423656
166,SKL,20,Accuracy,0.5447003467062902
167,SKL,20,F1 Score,0.5197667703040448
168,RND,21,Accuracy,0.5189450222882616
169,RND,21,F1 Score,0.3563011552805541
170,RNN,21,Accuracy,0.5564635958395245
171,RNN,21,F1 Score,0.5433773709890617
172,MLP,21,Accuracy,0.558568598315998
173,MLP,21,F1 Score,0.544175706061817
174,SKL,21,Accuracy,0.5455671124318969
175,SKL,21,F1 Score,0.5160290789462723
176,RND,22,Accuracy,0.5194403169886083
177,RND,22,F1 Score,0.35740068827475174
178,RNN,22,Accuracy,0.5487865279841506
179,RNN,22,F1 Score,0.5397455782124703
180,MLP,22,Accuracy,0.5506438831104508
181,MLP,22,F1 Score,0.5447969274974076
182,SKL,22,Accuracy,0.5408618127786032
183,SKL,22,F1 Score,0.5171250297374446
184,RND,23,Accuracy,0.5198117880138683
185,RND,23,F1 Score,0.358006363583405
186,RNN,23,Accuracy,0.5486627043090639
187,RNN,23,F1 Score,0.5419109090598153
188,MLP,23,Accuracy,0.5482912332838039
189,MLP,23,F1 Score,0.5432435418299582
190,SKL,23,Accuracy,0.5447003467062902
191,SKL,23,F1 Score,0.5162136224621693
192,RND,24,Accuracy,0.5191926696384349
193,RND,24,F1 Score,0.35728764924177125
194,RNN,24,Accuracy,0.5444526993561168
195,RNN,24,F1 Score,0.502039669457937
196,MLP,24,Accuracy,0.549034175334324
197,MLP,24,F1 Score,0.5367621793796062
198,SKL,24,Accuracy,0.5453194650817236
199,SKL,24,F1 Score,0.5193368170470103
200,RND,25,Accuracy,0.5191926696384349
201,RND,25,F1 Score,0.35663253177719206
202,RNN,25,Accuracy,0.5529965329370976
203,RNN,25,F1 Score,0.5485446393503693
204,MLP,25,Accuracy,0.5516344725111442
205,MLP,25,F1 Score,0.5505582341317652
206,SKL,25,Accuracy,0.5477959385834572
207,SKL,25,F1 Score,0.5215997503072938
208,RND,26,Accuracy,0.5185735512630015
209,RND,26,F1 Score,0.3565691506879561
210,RNN,26,Accuracy,0.5575780089153046
211,RNN,26,F1 Score,0.5273368343323745
212,MLP,26,Accuracy,0.5617880138682516
213,MLP,26,F1 Score,0.5537764292998248
214,SKL,26,Accuracy,0.554358593363051
215,SKL,26,F1 Score,0.5263534892916462
216,RND,27,Accuracy,0.5190688459633482
217,RND,27,F1 Score,0.35679477939003934
218,RNN,27,Accuracy,0.5526250619118376
219,RNN,27,F1 Score,0.552775435197436
220,MLP,27,Accuracy,0.5557206537890045
221,MLP,27,F1 Score,0.5546946595129241
222,SKL,27,Accuracy,0.5506438831104508
223,SKL,27,F1 Score,0.5232644598166604
224,RND,28,Accuracy,0.5188211986131749
225,RND,28,F1 Score,0.3569001336351331
226,RNN,28,Accuracy,0.5588162456661714
227,RNN,28,F1 Score,0.5585064766312755
228,MLP,28,Accuracy,0.5529965329370976
229,MLP,28,F1 Score,0.5423579766135769
230,SKL,28,Accuracy,0.5461862308073303
231,SKL,28,F1 Score,0.5124002562749298
232,RND,29,Accuracy,0.519935611688955
233,RND,29,F1 Score,0.35871553992529087
234,RNN,29,Accuracy,0.557454185240218
235,RNN,29,F1 Score,0.549471269804533
236,MLP,29,Accuracy,0.5589400693412581
237,MLP,29,F1 Score,0.5580858827088265
238,SKL,29,Accuracy,0.5505200594353641
239,SKL,29,F1 Score,0.5224900396965305
